Team,Tied,Lead by 1,Lead by 2,Lead by 3+,Down by 1,Down by 2,Down by 3+,Total_Time,All_Lead,All_Deficit,PCT_Tied,PCT_Lead by 1,PCT_Lead by 2,PCT_Lead by 3+,PCT_Down by 1,PCT_Down by 2,PCT_Down by 3+,PCT_All_Lead,PCT_All_Deficit
Union,523.1166666666667,161.51666666666668,259.01666666666665,112.86666666666666,141.93333333333334,278.4166666666667,335.0833333333333,1811.95,533.4,755.4333333333333,0.28870369859359624,0.08913969296430181,0.14294912479189087,0.062290166211356086,0.07833181563140999,0.1536558219965599,0.18492967981088515,0.29437898396754875,0.416917317438855
RIT,851.8166666666667,286.85,304.55,202.51666666666668,290.05,184.53333333333333,59.9,2180.2166666666667,793.9166666666666,534.4833333333333,0.3907027589001093,0.1315694923287441,0.13968795150329097,0.09288832149709891,0.13303723636030057,0.08463990581975797,0.02747433359069817,0.36414576532913395,0.24515147577075672
Ohio State,832.85,202.35,247.88333333333333,288.73333333333335,203.03333333333333,236.41666666666666,73.58333333333333,2084.85,738.9666666666667,513.0333333333333,0.3994771806125141,0.09705734225483847,0.11889744266174225,0.1384911784221087,0.09738510364454676,0.11339744665883238,0.03529430574541734,0.35444596333868944,0.24607685604879648
Mercyhurst,785.4666666666667,204.75,267.55,61.13333333333333,319.2,192.93333333333334,132.28333333333333,1963.3166666666666,533.4333333333333,644.4166666666666,0.4000713079058396,0.10428781229042691,0.13627450148133685,0.031137785549962223,0.16258202531430657,0.0982690854761076,0.06737748198202022,0.271700099321726,0.3282285927724344
Long Island,498.3666666666667,108.3,128.08333333333334,27.25,428.48333333333335,319.0833333333333,219.66666666666666,1729.2333333333333,263.6333333333333,967.2333333333333,0.28820093683135106,0.0626289106925998,0.07406943346762535,0.015758428590704938,0.24778803708772673,0.18452300634192417,0.12703124698806792,0.1524567727509301,0.5593422904177189
Northeastern,839.1333333333333,245.66666666666666,148.0,215.31666666666666,228.86666666666667,173.03333333333333,59.11666666666667,1909.1333333333334,608.9833333333333,461.01666666666665,0.43953626427349235,0.12867968013409226,0.07752208681076929,0.11278241435904598,0.11987987568530223,0.0906344938366449,0.030965184900653,0.31898418130390754,0.24147955442260013
Minnesota,979.35,209.5,306.78333333333336,421.9,198.63333333333333,73.38333333333334,17.65,2207.2,938.1833333333333,289.6666666666667,0.44370695904313157,0.09491663646248641,0.13899208650477227,0.19114715476621966,0.08999335508034312,0.033247251419596474,0.007996556723450525,0.4250558777334783,0.13123716322339013
Lindenwood,503.6166666666667,191.41666666666666,37.266666666666666,7.833333333333333,280.71666666666664,285.53333333333336,217.71666666666667,1524.1,236.51666666666668,783.9666666666667,0.33043544824267873,0.12559324628742646,0.024451588915862913,0.005139645255123242,0.18418520219583143,0.1873455372569604,0.14284933184611684,0.15518448045841263,0.5143800712989086
Western Michigan,698.85,226.81666666666666,233.38333333333333,340.4166666666667,243.1,260.1666666666667,84.51666666666667,2087.25,800.6166666666667,587.7833333333333,0.3348185411426518,0.10866770471513555,0.11181379007465964,0.16309338443725796,0.11646903820816865,0.12464566614764243,0.04049187527448397,0.38357487922705313,0.28160657963029506
Alaska Anchorage,513.75,247.96666666666667,163.2,43.016666666666666,192.76666666666668,168.26666666666668,235.46666666666667,1564.4333333333334,454.18333333333334,596.5,0.32839366756866173,0.15850254618285642,0.10431892271962159,0.027496644152302217,0.12321820467474912,0.10755758208510004,0.15051243261670894,0.2903181130547802,0.38128821937655805
