Player,2022-10-01-Lindenwood-Minnesota,2022-10-02-Lindenwood-Minnesota,2022-10-07-Lindenwood-Michigan,2022-10-08-Lindenwood-Michigan,2022-10-14-Air Force-Lindenwood,2022-10-15-Air Force-Lindenwood,2022-10-22-Lindenwood-American Int'l,2022-10-23-Lindenwood-American Int'l,2022-10-28-Lindenwood-Bentley,2022-10-29-Lindenwood-Bentley,2022-11-04-Lindenwood-Army,2022-11-05-Lindenwood-Army,2022-11-18-Lindenwood-Wisconsin,2022-11-19-Lindenwood-Wisconsin,2022-12-16-Lindenwood-Denver,2022-12-17-Lindenwood-Denver,2022-12-30-Lindenwood-Vermont,2022-12-31-Lindenwood-Vermont,2023-01-06-Lindenwood-North Dakota,2023-01-07-Lindenwood-North Dakota,2023-01-20-Lindenwood-Long Island,2023-01-21-Lindenwood-Long Island,2023-02-17-Lindenwood-Arizona State,2023-02-18-Lindenwood-Arizona State,2023-03-03-Lindenwood-Alaska,2023-03-04-Lindenwood-Alaska,2023-03-10-Lindenwood-Alaska-Anchorage,2023-03-11-Lindenwood-Alaska-Anchorage
Jack Anderson,0.2516326530612245,0.10163265306122454,-0.22500000000000003,0.715,-0.22500000000000003,-0.22499999999999998,0.3266326530612245,0.0,-0.375,0.29999999999999993,-0.07499999999999998,-0.5999999999999999,-0.075,0.675,0.075,0.07499999999999996,0.728265306122449,0.06499999999999997,0.0,0.565,1.345,0.15,0.525,0.14999999999999997,0.5249999999999999,0.075,0.855,0.075
Jackson Wozniak,0.0,0.6399999999999999,-0.30000000000000004,-0.065,-0.07500000000000007,-0.04836734693877548,0.075,0.2516326530612245,0.0,0.0,0.0,0.0,0.0,-0.105,-0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Prouty,0.22499999999999998,0.3266326530612245,0.026632653061224476,0.983265306122449,0.10499999999999998,1.1466326530612245,0.22499999999999998,0.40163265306122453,-0.048367346938775535,0.7116326530612245,0.3266326530612245,-0.5999999999999999,1.328265306122449,0.715,0.0,0.5816326530612246,0.5516326530612246,-0.3,0.63,-0.14999999999999997,1.0499999999999998,0.1766326530612245,0.6749999999999999,0.29999999999999993,0.7766326530612244,0.5516326530612246,0.4766326530612245,0.3
Kabore Dunn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22500000000000003,0.93,0.0,-0.44999999999999996,-0.075,0.1766326530612245,0.075,1.13,0.15,1.0450000000000002,0.0,0.0,0.15,0.64,1.103265306122449,0.29999999999999993,0.6749999999999999,0.1766326530612245,0.0,0.9
Kieran Ruscheinski,-0.075,0.17663265306122455,0.278265306122449,-0.22499999999999998,0.4899999999999999,-0.22499999999999998,0.0,0.0,-0.45,0.15,0.15,-0.04836734693877548,0.075,0.40163265306122453,0.0,-0.15000000000000002,0.15,-0.075,0.0,0.35326530612244905,0.15,0.0,0.6,0.14999999999999997,0.7016326530612245,0.0,0.3266326530612245,0.555
Kyle Jeffers,0.0,1.39,1.5316326530612243,-0.075,1.2300000000000002,-0.15,0.3,0.715,1.1450000000000002,0.22499999999999998,0.715,0.18000000000000016,0.10163265306122451,0.0,0.075,-0.07500000000000002,0.15,0.15,0.8816326530612245,-0.009999999999999981,0.63,2.405,1.0016326530612245,0.0,1.028265306122449,0.3366326530612245,1.8,0.428265306122449
Mason Kruger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Neill,0.4666326530612245,-0.10499999999999998,-0.1433673469387755,-0.37,0.8216326530612245,-0.12336734693877549,-0.01,-0.01,0.0,0.22499999999999998,0.0,-0.44999999999999996,0.0,0.3616326530612245,0.0,0.0,0.0,0.0,0.0,-0.07499999999999997,0.22499999999999998,0.3266326530612245,0.0,1.035,0.8516326530612245,0.0,0.0,0.0
Mitch Allard,0.105,-0.25499999999999995,-0.17000000000000004,0.17163265306122452,0.6616326530612244,-0.06336734693877549,0.368265306122449,0.035,-0.35,0.18,0.105,-0.32999999999999996,-0.13999999999999999,0.15,0.045,1.1516326530612244,1.2966326530612244,-0.12,0.21163265306122453,0.6166326530612245,0.105,0.03,1.4649999999999999,1.1266326530612245,1.085,-0.08,0.8049999999999999,0.6698979591836736
Ryan Finnegan,0.0,0.5250000000000001,1.015,0.06499999999999997,2.1049999999999995,-0.3,-0.075,0.825,0.7800000000000002,0.4766326530612245,0.075,0.5166326530612245,0.735,0.15,0.065,-0.07500000000000002,0.15,-0.08499999999999999,0.075,-0.07499999999999997,0.15,0.555,0.6749999999999999,1.0499999999999998,0.44999999999999996,0.0,0.2516326530612245,1.42
Sam Watson,0.0,0.0,-0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14999999999999997,0.4766326530612245,0.0,0.6,0.0,0.44999999999999996,0.0,0.2516326530612245,0.715
Shane Lavelle,0.075,0.10163265306122454,0.0,-0.15,0.0,0.0,0.0,0.0,0.7016326530612245,0.15,0.075,-0.29999999999999993,0.40163265306122453,0.653265306122449,0.0,0.10163265306122449,0.065,-0.22499999999999998,0.0,0.2516326530612245,0.4766326530612245,0.78,0.9266326530612244,0.14999999999999997,0.8516326530612245,0.0,0.555,0.0
Zachary Aughe,0.055,0.0,0.5599999999999999,-0.19,-0.30000000000000004,-0.31,0.030000000000000002,0.3816326530612245,-0.41500000000000004,0.14,0.3916326530612245,-0.48,0.075,0.2666326530612245,0.045,-0.023367346938775513,0.2566326530612245,-0.13,0.28163265306122454,-0.06499999999999997,0.44999999999999996,1.7516326530612247,0.6749999999999999,1.125,0.44999999999999996,0.0,1.2266326530612246,0.9349999999999999
