Team,Goalie,SV,GA,Minutes,Game_ID,Total_Minutes,TimeDelta,Home_Team,Away_Team
Harvard,EMPTY NET,0,0,0:13,2022-01-28-Harvard-Colgate,0.21666666666666667,0 days 00:00:13,Colgate,Harvard
Harvard,Mitchell Gibson,28,3,59:47,2022-01-28-Harvard-Colgate,59.78333333333333,0 days 00:59:47,Colgate,Harvard
Colgate,EMPTY NET,0,0,1:20,2022-01-28-Harvard-Colgate,1.3333333333333333,0 days 00:01:20,Colgate,Harvard
Colgate,Andrew Farrier,34,5,58:40,2022-01-28-Harvard-Colgate,58.666666666666664,0 days 00:58:40,Colgate,Harvard
Bowling Green,EMPTY NET,0,0,0:18,2022-01-28-Bowling Green-Ferris State,0.3,0 days 00:00:18,Ferris State,Bowling Green
Bowling Green,Christian Stoever,24,3,59:42,2022-01-28-Bowling Green-Ferris State,59.7,0 days 00:59:42,Ferris State,Bowling Green
Ferris State,EMPTY NET,0,0,1:06,2022-01-28-Bowling Green-Ferris State,1.1,0 days 00:01:06,Ferris State,Bowling Green
Ferris State,Noah Giesbrecht,23,4,58:54,2022-01-28-Bowling Green-Ferris State,58.9,0 days 00:58:54,Ferris State,Bowling Green
Bemidji State,EMPTY NET,0,1,2:09,2022-01-28-Bemidji State-Michigan Tech,2.15,0 days 00:02:09,Michigan Tech,Bemidji State
Bemidji State,Mattias Sholl,21,4,57:51,2022-01-28-Bemidji State-Michigan Tech,57.85,0 days 00:57:51,Michigan Tech,Bemidji State
Michigan Tech,Blake Pietila,32,2,60:00,2022-01-28-Bemidji State-Michigan Tech,60.0,0 days 01:00:00,Michigan Tech,Bemidji State
Mercyhurst,Kyle McClellan,43,1,60:00,2022-01-28-Mercyhurst-Niagara,60.0,0 days 01:00:00,Niagara,Mercyhurst
Niagara,EMPTY NET,0,0,5:46,2022-01-28-Mercyhurst-Niagara,5.766666666666667,0 days 00:05:46,Niagara,Mercyhurst
Niagara,Chad Veltri,20,1,34:14,2022-01-28-Mercyhurst-Niagara,34.233333333333334,0 days 00:34:14,Niagara,Mercyhurst
Niagara,Jake Sibell,6,3,20:00,2022-01-28-Mercyhurst-Niagara,20.0,0 days 00:20:00,Niagara,Mercyhurst
RIT,EMPTY NET,0,0,0:24,2022-01-28-RIT-Bentley,0.4,0 days 00:00:24,Bentley,RIT
RIT,Tommy Scarfone,29,1,59:36,2022-01-28-RIT-Bentley,59.6,0 days 00:59:36,Bentley,RIT
Bentley,EMPTY NET,0,0,1:31,2022-01-28-RIT-Bentley,1.5166666666666666,0 days 00:01:31,Bentley,RIT
Bentley,Evan DeBrouwer,26,2,58:29,2022-01-28-RIT-Bentley,58.483333333333334,0 days 00:58:29,Bentley,RIT
Providence,Jaxson Stauber,31,1,60:00,2022-01-28-Providence-Massachusetts,60.0,0 days 01:00:00,Massachusetts,Providence
Massachusetts,EMPTY NET,0,0,2:05,2022-01-28-Providence-Massachusetts,2.0833333333333335,0 days 00:02:05,Massachusetts,Providence
Massachusetts,Matt Murray,26,2,57:55,2022-01-28-Providence-Massachusetts,57.916666666666664,0 days 00:57:55,Massachusetts,Providence
Mass. Lowell,Owen Savory,26,1,59:56,2022-01-28-Mass. Lowell-Northeastern,59.93333333333333,0 days 00:59:56,Northeastern,Mass. Lowell
Northeastern,EMPTY NET,0,0,1:39,2022-01-28-Mass. Lowell-Northeastern,1.65,0 days 00:01:39,Northeastern,Mass. Lowell
Northeastern,TJ Semptimphelter,30,2,58:21,2022-01-28-Mass. Lowell-Northeastern,58.35,0 days 00:58:21,Northeastern,Mass. Lowell
Boston College,EMPTY NET,0,1,1:33,2022-01-28-Boston College-Maine,1.55,0 days 00:01:33,Maine,Boston College
Boston College,Eric Dop,33,3,58:27,2022-01-28-Boston College-Maine,58.45,0 days 00:58:27,Maine,Boston College
Maine,Victor Ostman,32,1,60:00,2022-01-28-Boston College-Maine,60.0,0 days 01:00:00,Maine,Boston College
Denver,EMPTY NET,0,0,2:56,2022-01-28-Denver-Miami,2.9333333333333336,0 days 00:02:56,Miami,Denver
Denver,Magnus Chrona,16,4,60:07,2022-01-28-Denver-Miami,60.11666666666667,0 days 01:00:07,Miami,Denver
Miami,EMPTY NET,0,0,0:12,2022-01-28-Denver-Miami,0.2,0 days 00:00:12,Miami,Denver
Miami,Ludvig Persson,40,5,62:51,2022-01-28-Denver-Miami,62.85,0 days 01:02:51,Miami,Denver
Western Michigan,EMPTY NET,0,0,2:45,2022-01-28-Western Michigan-Minnesota Duluth,2.75,0 days 00:02:45,Minnesota Duluth,Western Michigan
Western Michigan,Brandon Bussi,30,5,57:15,2022-01-28-Western Michigan-Minnesota Duluth,57.25,0 days 00:57:15,Minnesota Duluth,Western Michigan
Minnesota Duluth,Ryan Fanti,24,4,60:00,2022-01-28-Western Michigan-Minnesota Duluth,60.0,0 days 01:00:00,Minnesota Duluth,Western Michigan
St. Cloud State,EMPTY NET,0,0,0:47,2022-01-28-St. Cloud State-North Dakota,0.7833333333333333,0 days 00:00:47,North Dakota,St. Cloud State
St. Cloud State,David Hrenak,14,4,29:27,2022-01-28-St. Cloud State-North Dakota,29.45,0 days 00:29:27,North Dakota,St. Cloud State
St. Cloud State,Jaxon Castor,16,3,29:46,2022-01-28-St. Cloud State-North Dakota,29.766666666666666,0 days 00:29:46,North Dakota,St. Cloud State
North Dakota,EMPTY NET,0,0,0:29,2022-01-28-St. Cloud State-North Dakota,0.48333333333333334,0 days 00:00:29,North Dakota,St. Cloud State
North Dakota,Jakob Hellsten,19,1,59:31,2022-01-28-St. Cloud State-North Dakota,59.516666666666666,0 days 00:59:31,North Dakota,St. Cloud State
Omaha,EMPTY NET,0,1,1:28,2022-01-28-Omaha-Colorado College,1.4666666666666668,0 days 00:01:28,Colorado College,Omaha
Omaha,Isaiah Saville,15,3,58:32,2022-01-28-Omaha-Colorado College,58.53333333333333,0 days 00:58:32,Colorado College,Omaha
Colorado College,Matt Vernon,31,1,60:00,2022-01-28-Omaha-Colorado College,60.0,0 days 01:00:00,Colorado College,Omaha
Alaska,EMPTY NET,0,1,1:29,2022-01-28-Alaska-Vermont,1.4833333333333334,0 days 00:01:29,Vermont,Alaska
Alaska,Gustavs Davis Grigals,20,1,58:31,2022-01-28-Alaska-Vermont,58.516666666666666,0 days 00:58:31,Vermont,Alaska
Vermont,Gabe Carriere,21,0,60:00,2022-01-28-Alaska-Vermont,60.0,0 days 01:00:00,Vermont,Alaska
Arizona State,EMPTY NET,0,0,2:35,2022-01-28-Arizona State-Minnesota State,2.5833333333333335,0 days 00:02:35,Minnesota State,Arizona State
Arizona State,Ben Kraws,29,4,57:25,2022-01-28-Arizona State-Minnesota State,57.416666666666664,0 days 00:57:25,Minnesota State,Arizona State
Minnesota State,Dryden McKay,24,2,60:00,2022-01-28-Arizona State-Minnesota State,60.0,0 days 01:00:00,Minnesota State,Arizona State
Rensselaer,EMPTY NET,0,1,1:32,2022-01-29-Rensselaer-Union,1.5333333333333332,0 days 00:01:32,Union,Rensselaer
Rensselaer,Jack Watson,15,1,58:28,2022-01-29-Rensselaer-Union,58.46666666666667,0 days 00:58:28,Union,Rensselaer
Union,Connor Murphy,33,0,60:00,2022-01-29-Rensselaer-Union,60.0,0 days 01:00:00,Union,Rensselaer
Alaska,EMPTY NET,0,0,0:21,2022-01-29-Alaska-Vermont,0.35,0 days 00:00:21,Vermont,Alaska
Alaska,Gustavs Davis Grigals,28,0,59:39,2022-01-29-Alaska-Vermont,59.65,0 days 00:59:39,Vermont,Alaska
Vermont,EMPTY NET,0,1,0:38,2022-01-29-Alaska-Vermont,0.6333333333333333,0 days 00:00:38,Vermont,Alaska
