Color,Hex_Code,Team,color_level
White,#ffffff;,Duke Blue Devils,2
Duke Royal Blue,#00539B;,Duke Blue Devils,3
Duke Navy Blue,#012169;,Duke Blue Devils,4
NAVY BLUE ,#041E42;,Duquesne Dukes,1
RED ,#BA0C2F;,Duquesne Dukes,2
BLACK,#000000;,Duquesne Dukes,3
PURPLE ,#592A8A;,East Carolina Pirates,1
GOLD ,#FDC82F;,East Carolina Pirates,2
GREEN ,#006633;,Eastern Michigan,1
BLACK,#000000;,Eastern Michigan,2
WHITE,#FFFFFF;,Eastern Michigan,3
Gray,#919295;,Eastern Illinois Panthers,1
Blue,#004b83;,Eastern Illinois Panthers,2
White,#ffffff;,Eastern Illinois Panthers,3
Maroon,#8a0039;,E. Kentucky Colonels,1
White,#ffffff;,E. Kentucky Colonels,2
Navy,#041e42;,ETSU,1
Gold,#FFC72C;,ETSU,2
Red,NA,Eastern Washington,1
White,#FFFFFF;,Eastern Washington,2
Black,#000000;,Eastern Washington,3
Gray,NA,Eastern Washington,4
Maroon,#73000a;,Elon Phoenix,1
Gold,#b59a57;,Elon Phoenix,2
White,#ffffff;,Elon Phoenix,3
Black,#000000;,Elon Phoenix,4
PURPLE,#52237f;,Evansville Purple Aces,1
ORANGE,#f36f21;,Evansville Purple Aces,2
WHITE,#FFFFFF;,Evansville Purple Aces,3
RED ,#C8102E;,Fairfield Stags,1
GRAY ,#A2AAAD;,Fairfield Stags,2
BLACK,#000000;,Fairfield Stags,3
WHITE,#FFFFFF;,Fairfield Stags,4
Blue,#28334A;,F. Dickinson Knights,1
Burgundy,#72293C;,F. Dickinson Knights,2
Blue ,#003366;,FAU Owls,1
Red ,#CC0000;,FAU Owls,2
Silver ,#8A8D8F;,FAU Owls,3
Gray ,#CCCCCC;,FAU Owls,4
Navy Blue ,#081E3F;,FIU Panthers,1
Red ,#B6862C;,FIU Panthers,2
Fang Orange,#ee7624;,Florida A&M Rattlers,1
Venom Green,#1b5633;,Florida A&M Rattlers,2
Black,#231f20;,Florida A&M Rattlers,3
Blue,#0021A5;,Florida Gators,1
Orange,#FA4616;,Florida Gators,2
Cobalt Blue ,#002D72;,Florida Gulf Coast Eagles,1
Emerald Green ,#007749;,Florida Gulf Coast Eagles,2
Gold ,#B9975B;,Florida Gulf Coast Eagles,3
Garnet,#782F40;,Florida State Seminoles,1
Gold ,#CEB888;,Florida State Seminoles,2
White ,#FFFFFF;,Florida State Seminoles,3
Black ,#000000;,Florida State Seminoles,4
FORDHAM AHTLETIC MAROON ,#860038;,Fordham Rams,1
WHITE,#FFFFFF;,Fordham Rams,2
Blue,#002F6C;,Fort Wayne Mastadons,1
Black,#000000;,Fort Wayne Mastadons,2
Dark Gray,#63666A;,Fort Wayne Mastadons,3
Medium Gray,#97999B;,Fort Wayne Mastadons,4
Light Gray,#BBBCBC;,Fort Wayne Mastadons,5
Red ,#db0032;,Fresno State Bulldogs,1
Blue ,#002e6d;,Fresno State Bulldogs,2
Green ,#007934;,Fresno State Bulldogs,3
Dark Purple,#201547;,Furman Paladins,1
Purple,#582c83;,Furman Paladins,2
Cool Gray 6 C,#A7A8AA;,Furman Paladins,3
Red,#BF2F37;,Gardner-Webb Bulldogs,1
White,#ffffff;,Gardner-Webb Bulldogs,2
Black,#000000;,Gardner-Webb Bulldogs,3
MASON GREEN ,#006633;,George Mason Patriots,1
MASON GOLD ,#FFCC33;,George Mason Patriots,2
WHITE,#FFFFFF;,George Mason Patriots,3
BLACK,#000000;,George Mason Patriots,4
BUFF ,#e2cb92;,George Washington Colonials,1
BLUE ,#002654;,George Washington Colonials,2
WHITE,#FFFFFF;,George Washington Colonials,3
Bulldog RedCMYK,#BA0C2F;,Georgia Bulldogs,1
Arch Black,#000000;,Georgia Bulldogs,2
Chapel Bell White,#FFFFFF;,Georgia Bulldogs,3
Blue ,#011e41;,Georgia Southern Eagles,1
Gray ,#A3AAAE;,Georgia Southern Eagles,2
Old Gold ,#87714D;,Georgia Southern Eagles,3
Blue ,#0039A6;,Georgia State Panthers,1
Red ,#C60C30;,Georgia State Panthers,2
Black ,#000000;,Georgia State Panthers,3
Tech Gold,#B3A369;,Georgia Tech Yellow Jackets,1
Tech Gold (Metallic),#A28D5B;,Georgia Tech Yellow Jackets,2
Blue,#003057;,Georgia Tech Yellow Jackets,3
GEORGETOWN BLUE ,#041E42;,Georgetown Hoyas,1
GEORGETOWN GRAY ,#8D817B;,Georgetown Hoyas,2
Navy Blue,#041E42;,Gonzaga Bulldogs,1
Athletic Red,#C8102E;,Gonzaga Bulldogs,2
Athletic Gray,#C1C6C8;,Gonzaga Bulldogs,3
Gold,#eaa921;,Grambling Tigers,1
Black,#000000;,Grambling Tigers,2
Purple ,#522398;,Grand Canyon Antelopes,1
Black ,#000000;,Grand Canyon Antelopes,2
GREEN ,#006747;,Green Bay Phoenix,1
RED ,#9D2235;,Green Bay Phoenix,2
SILVER ,#8A8D8F;,Green Bay Phoenix,3
Blue,#0060A9;,Hampton Pirates,1
White,#ffffff;,Hampton Pirates,2
RED ,#c02427;,Hartford Hawks,1
BLACK ,#0f0708;,Hartford Hawks,2
WHITE Verified Source,NA,Hartford Hawks,3
Crimson,NA,Harvard Crimson,1
Black,#000000;,Harvard Crimson,2
Cool Grey,#808285;,Harvard Crimson,3
Silver,#B6B6B6;,Harvard Crimson,4
Green,#024731;,Hawaii Warriors,1
Silver,#c8c8c8;,Hawaii Warriors,2
Black,#00000;,Hawaii Warriors,3
Royal Purple,#330072;,High Point Panthers,1
White,#ffffff;,High Point Panthers,2
Blue,#0B1E73;,Hofstra Pride,1
Gold,#FEB612;,Hofstra Pride,2
White,#ffffff;,Hofstra Pride,3
Purple ,#602d89;,Holy Cross,1
White,#FFFFFF;,Holy Cross,2
Black ,#000000;,Holy Cross,3
Blue,#1c4e9d;,Houston Baptist Huskies,1
Orange,#f3652c;,Houston Baptist Huskies,2
White,#ffffff;,Houston Baptist Huskies,3
RED ,#C8102E;,Houston Cougars,1
DARK RED ,#76232F;,Houston Cougars,2
GRAY ,#B2B4B2;,Houston Cougars,3
Dark Blue,#003a63;,Howard Bisons,1
Red,#e51937;,Howard Bisons,2
Gray,#6a808c;,Howard Bisons,3
Athletic Gold,NA,Idaho Vandals,1
Academic Gold,NA,Idaho Vandals,2
Metallic Gold,NA,Idaho Vandals,3
