School,Age_Years,year_exp,Defensemen_Age_Years,Forwards_Age_Years,Goaltenders_Age_Years,Defensemen_year_exp,Forwards_year_exp,Goaltenders_year_exp,Drafted,Team_Draft_Score,Normalized_Team_Draft_Score
Nebraska Omaha,22.24082556731427,2.0,21.87748117727584,22.360939995436915,22.60917180013689,2.125,2.0,1.6666666666666667,5,18.0,0.2857142857142857
New Hampshire,21.977105902900703,1.6206896551724137,22.109856262833674,21.742561500986433,22.70841889117043,1.875,1.2941176470588236,2.5,6,16.0,0.25396825396825395
Niagara,22.64259246146947,1.3793103448275863,22.680660126245343,22.55586423481097,23.019849418206707,1.4444444444444444,1.4705882352941178,0.6666666666666666,1,2.0,0.031746031746031744
North Dakota,22.11856999947349,1.7692307692307692,22.148870636550306,22.023454255076434,22.51334702258727,1.625,1.9333333333333333,1.3333333333333333,11,31.0,0.49206349206349204
Northeastern,21.969742028369797,1.6551724137931034,21.729226557152636,22.186447638603696,21.758384668035593,1.8,1.8666666666666667,0.5,8,27.0,0.42857142857142855
Northern Michigan,22.488615103810176,1.2333333333333334,22.899931553730323,22.26114265007851,22.406570841889117,1.4,1.1764705882352942,1.0,2,7.0,0.1111111111111111
Notre Dame,21.45578134957162,1.6551724137931034,21.547189900372654,21.043805612594113,22.89801505817933,1.7777777777777777,1.3125,2.75,9,30.0,0.47619047619047616
Ohio State,21.948402042857897,1.7307692307692308,21.57529089664613,22.15979922427561,21.88637919233402,1.5,1.8666666666666667,1.6666666666666667,3,10.0,0.15873015873015872
Penn State,22.074553782972675,1.8846153846153846,22.155030800821354,21.741638147387633,23.524526579968057,1.875,1.8,2.3333333333333335,3,3.0,0.047619047619047616
Princeton,21.83790909321368,1.4444444444444444,21.99771845767739,22.018161076887974,20.45722108145106,1.5555555555555556,1.5333333333333334,0.6666666666666666,0,0.0,0.0
Providence,21.49097035750013,1.8076923076923077,21.579739904175224,21.374766141911934,21.83527264430755,2.25,1.7333333333333334,1.0,6,17.0,0.2698412698412698
Quinnipiac,21.91870689201285,1.6923076923076923,21.83496843866454,21.801505817932924,22.716860597764086,2.111111111111111,1.4285714285714286,1.6666666666666667,2,6.0,0.09523809523809523
RIT,23.049860474911807,1.7307692307692308,23.11601642710472,22.7792835957107,24.22632899840292,2.0,1.6,1.6666666666666667,0,0.0,0.0
Rensselaer,22.46924806883739,1.9285714285714286,22.628678986995208,22.291420058783267,23.05179101072325,2.0,1.8823529411764706,2.0,1,3.0,0.047619047619047616
Robert Morris,22.945360995067148,1.6206896551724137,22.616776941212258,22.975560655473686,23.759981747661417,1.6666666666666667,1.411764705882353,2.6666666666666665,0,0.0,0.0
Sacred Heart,22.838056125941137,1.8333333333333333,22.84599589322382,22.853524982888434,22.756331279945243,2.5,1.375,2.0,1,2.0,0.031746031746031744
St Cloud State,22.01739042259234,1.5185185185185186,22.078941364362308,22.00666210358202,21.88637919233402,1.4444444444444444,1.6666666666666667,1.0,6,19.0,0.30158730158730157
St Lawrence,22.741501254848277,1.8333333333333333,22.68473648186174,22.861054072553046,22.405201916495553,1.6,2.25,0.75,1,2.0,0.031746031746031744
Union,22.469345849222645,1.5357142857142858,22.13156894060385,22.843258042436688,21.48847821127082,1.1111111111111112,1.875,1.0,0,0.0,0.0
Vermont,21.881542322610084,1.3666666666666667,21.53429158110883,22.12634376132383,21.6518366415697,1.0,1.6470588235294117,1.0,4,12.0,0.19047619047619047
Western Michigan,22.633447410449467,2.1,22.849418206707735,22.595482546201232,22.297969427332877,2.25,2.1578947368421053,1.3333333333333333,6,21.0,0.3333333333333333
Wisconsin,21.266782498815353,1.6153846153846154,20.632785763175907,21.205749486652977,23.26260552133242,1.375,1.7333333333333334,1.6666666666666667,12,41.0,0.6507936507936508
Yale,22.091033538672143,1.5357142857142858,21.951174994296146,22.163586584531142,22.123659593885463,1.3333333333333333,1.625,1.6666666666666667,0,0.0,0.0
