Date,Conference,Game_Notes,Away_Team,Away_Team_Link,Away_Score,Home_Team,Home_Team_Link,Home_Score,OT,Box_Link,Metrics_Link,Day,Game_ID
2023-10-13,Non-Conference,Ice Breaker Tournament,Army,/reports/team/Army/6,2,North Dakota,/reports/team/North-Dakota/40,7,,/box/final/20231013/arm/ndk/,/box/metrics.php?gd=96702,Friday,2023-10-13_North Dakota_Army
2023-10-13,Non-Conference,,Niagara,/reports/team/Niagara/39,1,Omaha,/reports/team/Omaha/37,8,,/box/final/20231013/nia/uno/,/box/metrics.php?gd=96701,Friday,2023-10-13_Omaha_Niagara
2023-10-13,Non-Conference,,St. Cloud State,/reports/team/St-Cloud-State/52,2,Minnesota State,/reports/team/Minnesota-State/35,3,ot,/box/final/20231013/stc/mns/,/box/metrics.php?gd=96700,Friday,2023-10-13_Minnesota State_St. Cloud State
2023-10-13,Non-Conference,,Northern Michigan,/reports/team/Northern-Michigan/42,5,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,5,ot,/box/final/20231013/nmu/mnd/,/box/metrics.php?gd=96699,Friday,2023-10-13_Minnesota-Duluth_Northern Michigan
2023-10-13,Non-Conference,"at Xcel Energy Center, St. Paul, Minn.",St. Thomas,/reports/team/St-Thomas/63,5,Minnesota,/reports/team/Minnesota/34,6,ot,/box/final/20231013/stt/min/,/box/metrics.php?gd=97061,Friday,2023-10-13_Minnesota_St. Thomas
2023-10-13,Non-Conference,,Union,/reports/team/Union/54,3,Colorado College,/reports/team/Colorado-College/16,7,,/box/final/20231013/uni/cc_/,/box/metrics.php?gd=96704,Friday,2023-10-13_Colorado College_Union
2023-10-13,Non-Conference,,Michigan State,/reports/team/Michigan-State/32,5,Air Force,/reports/team/Air-Force/1,3,,/box/final/20231013/msu/afa/,/box/metrics.php?gd=97208,Friday,2023-10-13_Air Force_Michigan State
2023-10-13,Non-Conference,,Merrimack,/reports/team/Merrimack/29,0,Arizona State,/reports/team/Arizona-State/61,1,ot,/box/final/20231013/mer/asu/,/box/metrics.php?gd=96454,Friday,2023-10-13_Arizona State_Merrimack
2023-10-13,Hockey East,,Boston University,/reports/team/Boston-University/10,4,New Hampshire,/reports/team/New-Hampshire/38,6,,/box/final/20231013/bu_/unh/,/box/metrics.php?gd=96450,Friday,2023-10-13_New Hampshire_Boston University
2023-10-14,Atlantic Hockey,,Robert Morris,/reports/team/Robert-Morris/50,3,Mercyhurst,/reports/team/Mercyhurst/28,3,ot,/box/final/20231014/rmu/mrc/,/box/metrics.php?gd=97209,Saturday,2023-10-14_Mercyhurst_Robert Morris
2023-10-14,Non-Conference,,Long Island,/reports/team/Long-Island/62,7,Stonehill,/reports/team/Stonehill/422,3,,/box/final/20231014/liu/stn/,/box/metrics.php?gd=97435,Saturday,2023-10-14_Stonehill_Long Island
2023-10-14,Non-Conference,,Lindenwood,/reports/team/Lindenwood/433,2,Ohio State,/reports/team/Ohio-State/44,2,ot,/box/final/20231014/lin/osu/,/box/metrics.php?gd=97550,Saturday,2023-10-14_Ohio State_Lindenwood
2023-10-14,Non-Conference,,Bowling Green,/reports/team/Bowling-Green/11,2,Augustana,/reports/team/Augustana/64,3,,/box/final/20231014/bgs/aug/,/box/metrics.php?gd=97064,Saturday,2023-10-14_Augustana_Bowling Green
2023-10-14,Non-Conference,,Alaska-Anchorage,/reports/team/Alaska-Anchorage/3,3,Lake Superior,/reports/team/Lake-Superior/24,2,,/box/final/20231014/aka/lss/,/box/metrics.php?gd=97063,Saturday,2023-10-14_Lake Superior_Alaska-Anchorage
2023-10-14,Non-Conference,,Alaska,/reports/team/Alaska/4,2,Michigan Tech,/reports/team/Michigan-Tech/33,2,ot,/box/final/20231014/akf/mtu/,/box/metrics.php?gd=97062,Saturday,2023-10-14_Michigan Tech_Alaska
2023-10-14,Non-Conference,,St. Thomas,/reports/team/St-Thomas/63,0,Minnesota,/reports/team/Minnesota/34,3,,/box/final/20231014/stt/min/,/box/metrics.php?gd=97065,Saturday,2023-10-14_Minnesota_St. Thomas
2023-10-14,Non-Conference,,Holy Cross,/reports/team/Holy-Cross/23,2,Connecticut,/reports/team/Connecticut/17,0,,/box/final/20231014/hcr/con/,/box/metrics.php?gd=96457,Saturday,2023-10-14_Connecticut_Holy Cross
2023-10-14,Non-Conference,,American Int'l,/reports/team/American-Intl/5,0,Quinnipiac,/reports/team/Quinnipiac/47,8,,/box/final/20231014/aic/qui/,/box/metrics.php?gd=96889,Saturday,2023-10-14_Quinnipiac_American Int'l
2023-10-14,Non-Conference,,Penn State,/reports/team/Penn-State/60,4,St. Lawrence,/reports/team/St-Lawrence/53,1,,/box/final/20231014/psu/stl/,/box/metrics.php?gd=96888,Saturday,2023-10-14_St. Lawrence_Penn State
2023-10-14,Non-Conference,,Colgate,/reports/team/Colgate/15,6,Sacred Heart,/reports/team/Sacred-Heart/51,1,,/box/final/20231014/clg/sac/,/box/metrics.php?gd=96887,Saturday,2023-10-14_Sacred Heart_Colgate
2023-10-14,Non-Conference,,Vermont,/reports/team/Vermont/55,2,Clarkson,/reports/team/Clarkson/14,3,ot,/box/final/20231014/ver/clk/,/box/metrics.php?gd=96463,Saturday,2023-10-14_Clarkson_Vermont
2023-10-14,Non-Conference,,Michigan,/reports/team/Michigan/31,3,Massachusetts,/reports/team/Massachusetts/27,6,,/box/final/20231014/mic/uma/,/box/metrics.php?gd=96460,Saturday,2023-10-14_Massachusetts_Michigan
2023-10-14,Non-Conference,,Bentley,/reports/team/Bentley/8,2,Northeastern,/reports/team/Northeastern/41,5,,/box/final/20231014/ben/noe/,/box/metrics.php?gd=96458,Saturday,2023-10-14_Northeastern_Bentley
2023-10-14,Non-Conference,Ice Breaker Tournament,Army,/reports/team/Army/6,2,Bemidji State,/reports/team/Bemidji-State/7,3,ot,/box/final/20231014/arm/bmj/,/box/metrics.php?gd=96706,Saturday,2023-10-14_Bemidji State_Army
