Season_Year,Team,Conference
1922,Cornell,None
1922,Dartmouth,None
1922,Hamilton,None
1922,Harvard,None
1922,L'Assumption,None
1922,Lafayette,None
1922,MIT,None
1922,Marquette,None
1922,Mass. Agricultural,None
1922,McGill,None
1922,Michigan,None
1922,Minnesota,None
1922,Missouri Osteopa,None
1922,New Haven,None
1922,New Haven Bears,None
1922,Nichols Club,None
1922,Notre Dame,None
1922,Pennsylvania,None
1922,Princeton,None
1922,Queen's,None
1922,RPI,None
1922,Ramsey Tech,None
1922,Royal Military,None
1922,St. Nick's,None
1922,Toronto,None
1922,Victoria,None
1922,Williams,None
1922,Wisconsin,None
1922,Yale,None
1923,25,None
1923,Abegweits,None
1923,Army,None
1923,Bates,None
1923,Berlin H.C.,None
1923,Boston A.A.,None
1923,Boston College,None
1923,Boston H.C.,None
1923,Boston University,None
1923,Cleveland AC,None
1923,Cleveland AS,None
1923,Cornell,None
1923,Dartmouth,None
1923,Eveleth JC,None
1923,Hamilton,None
1923,Harvard,None
1923,Hibbing,None
1923,MIT,None
1923,Maple A.A.,None
1923,Marquette,None
1923,Mass. Agricultural,None
1923,McGill,None
1923,Michigan,None
1923,Minnesota,None
1923,Missouri Osteopa,None
1923,Montreal,None
1923,Montreal Nats,None
1923,Montreal Vict.,None
1923,Nashua Nationals,None
1923,New Brunswick,None
1923,New Haven Bears,None
1923,Notre Dame,None
1923,Ottawa Shamrocks,None
1923,Pennsylvania,None
1923,Princeton,None
1923,Queen's,None
1923,RPI,None
1923,Royal Bank of Ca,None
1923,Royal Military,None
1923,St. Dominique,None
1923,St. Nick's,None
1923,Toronto,None
1923,Union,None
1923,Williams,None
1923,Wisconsin,None
1923,Yale,None
1924,Amherst,None
1924,Army,None
1924,Bates,None
1924,Boston A.A.,None
1924,Boston College,None
1924,Boston University,None
1924,Bowdoin,None
1924,Briarcliff Lodge,None
1924,Cornell,None
1924,Dartmouth,None
1924,Hamilton,None
1924,Harvard,None
1924,Kent School,None
1924,L'Assumption,None
1924,MIT,None
1924,Marquette,None
1924,Mass. Agricultural,None
1924,McGill,None
1924,Michigan,None
1924,Michigan State,None
1924,Minnesota,None
1924,Montreal A.A.,None
1924,Montréal,None
1924,New Hampshire,None
1924,Notre Dame,None
1924,Princeton,None
1924,Queen's,None
1924,Royal Military,None
1924,St. Nick's,None
1924,Toronto,None
1924,Union,None
