Season_Year,Team,Conference
1968,Lake Forest,None
1968,Massachusetts,None
1968,McGill,None
1968,Merrimack,None
1968,Michigan,WCHA
1968,Michigan State,WCHA
1968,Michigan Tech,WCHA
1968,Middlebury,None
1968,Minnesota,WCHA
1968,Minnesota-Duluth,WCHA
1968,New Brunswick,None
1968,New Hampshire,ECAC
1968,North Dakota,WCHA
1968,Northeastern,ECAC
1968,Norwich,None
1968,Notre Dame,None
1968,Ohio State,None
1968,Ohio U.,None
1968,Pennsylvania,ECAC
1968,Princeton,ECAC
1968,Providence,ECAC
1968,RPI,ECAC
1968,Royal Military,None
1968,St. Lawrence,ECAC
1968,St. Nick's,None
1968,Toronto,None
1968,Vermont,None
1968,Waterloo,None
1968,Western Ontario,None
1968,Williams,None
1968,Wisconsin,WCHA
1968,Yale,ECAC
1969,Air Force,None
1969,American Int'l,None
1969,Army,None
1969,Bemidji State,None
1969,Bishop's,None
1969,Boston College,ECAC
1969,Boston University,ECAC
1969,Bowdoin,None
1969,Brown,ECAC
1969,Clarkson,ECAC
1969,Colgate,ECAC
1969,Colorado College,WCHA
1969,Connecticut,None
1969,Cornell,ECAC
1969,Dartmouth,ECAC
1969,Denver,WCHA
1969,Guelph,None
1969,Hamilton,None
1969,Harvard,ECAC
1969,Lake Forest,None
1969,Massachusetts,None
1969,McGill,None
1969,Merrimack,None
1969,Michigan,WCHA
1969,Michigan State,WCHA
1969,Michigan Tech,WCHA
1969,Middlebury,None
1969,Minnesota,WCHA
1969,Minnesota-Duluth,WCHA
1969,New Hampshire,ECAC
1969,North Dakota,WCHA
1969,Northeastern,ECAC
1969,Norwich,None
1969,Notre Dame,WCHA
1969,Ohio University,None
1969,Pennsylvania,ECAC
1969,Princeton,ECAC
1969,Providence,ECAC
1969,RPI,ECAC
1969,Royal Military,None
1969,St. Lawrence,ECAC
1969,St. Nick's,None
1969,Toronto,None
1969,US Nationals,None
1969,Vermont,None
1969,Western Ontario,None
1969,Williams,None
1969,Wisconsin,WCHA
1969,Yale,ECAC
1970,Air Force,None
1970,American Int'l,None
1970,Army,ECAC
1970,Bemidji State,None
1970,Bishop's,None
1970,Boston College,ECAC
1970,Boston University,ECAC
1970,Bowdoin,None
1970,Bowling Green,None
1970,Brown,ECAC
1970,Clarkson,ECAC
1970,Colgate,ECAC
1970,Colorado College,WCHA
1970,Connecticut,None
1970,Cornell,ECAC
1970,Dartmouth,ECAC
1970,Denver,WCHA
1970,Guelph,None
1970,Harvard,ECAC
1970,McGill,None
1970,McMaster,None
1970,Merrimack,None
1970,Michigan,WCHA
1970,Michigan State,WCHA
1970,Michigan Tech,WCHA
1970,Middlebury,None
1970,Minnesota,WCHA
1970,Minnesota-Duluth,WCHA
1970,New Hampshire,ECAC
1970,North Dakota,WCHA
1970,Northeastern,ECAC
1970,Norwich,None
1970,Notre Dame,WCHA
1970,Pennsylvania,ECAC
1970,Princeton,ECAC
1970,Providence,ECAC
1970,RPI,ECAC
1970,Royal Military,None
1970,Seneca,None
1970,Sherbrooke,None
1970,St. Lawrence,ECAC
1970,St. Louis,None
1970,St. Nick's,None
1970,US Nationals,None
1970,Vermont,None
1970,Western Ontario,None
1970,Williams,None
1970,Wis.-Superior,None
1970,Wisconsin,WCHA
1970,Yale,ECAC
1971,Air Force,None
1971,American Int'l,None
1971,Army,ECAC
1971,Boston College,ECAC
1971,Boston State,ECAC
1971,Boston University,ECAC
1971,Bowdoin,None
1971,Brown,ECAC
1971,Clarkson,ECAC
1971,Colgate,ECAC
1971,Colorado College,WCHA
1971,Connecticut,ECAC
1971,Cornell,ECAC
1971,Dalhousie,None
1971,Dartmouth,ECAC
1971,Denver,WCHA
1971,Harvard,ECAC
1971,Lake Forest,None
1971,Laurentian,None
1971,Massachusetts,ECAC
1971,Merrimack,None
1971,Michigan,WCHA
1971,Michigan State,WCHA
1971,Michigan Tech,WCHA
1971,Middlebury,ECAC
1971,Minnesota,WCHA
1971,Minnesota-Duluth,WCHA
1971,New Hampshire,ECAC
1971,North Dakota,WCHA
1971,Northeastern,ECAC
1971,Norwich,None
1971,Notre Dame,WCHA
1971,Ohio University,None
1971,Oswego,None
1971,Pennsylvania,ECAC
1971,Princeton,ECAC
1971,Providence,ECAC
1971,RPI,ECAC
1971,Royal Military,None
1971,St. Anselm,None
1971,St. Lawrence,ECAC
1971,St. Louis,None
1971,St. Nick's,None
1971,US Olympic,None
1971,Vermont,None
1971,Waterloo,None
1971,Western Ontario,None
1971,Williams,None
1971,Wisconsin,WCHA
1971,Yale,ECAC
1972,Air Force,None
1972,American Int'l,None
1972,Army,None
1972,Boston College,ECAC
1972,Boston State,None
1972,Boston University,ECAC
1972,Bowdoin,ECAC
1972,Brown,ECAC
1972,Clarkson,ECAC
1972,Colgate,ECAC
1972,Colorado College,WCHA
1972,Connecticut,None
1972,Cornell,ECAC
1972,Dartmouth,ECAC
1972,Denver,WCHA
1972,Hamilton,None
1972,Harvard,ECAC
1972,Ithaca,None
1972,Lake Forest,None
1972,Lowell Tech,None
1972,MacDonald,None
1972,Manitoba,None
1972,Massachusetts,None
1972,Merrimack,ECAC
1972,Michigan,WCHA
1972,Michigan State,WCHA
1972,Michigan Tech,WCHA
1972,Minnesota,WCHA
1972,Minnesota-Duluth,WCHA
1972,New Brunswick,None
1972,New Hampshire,ECAC
1972,North Dakota,WCHA
1972,Northeastern,ECAC
1972,Norwich,None
1972,Notre Dame,WCHA
1972,Oswego,None
1972,Pennsylvania,ECAC
1972,Princeton,ECAC
1972,Providence,ECAC
1972,RPI,ECAC
1972,Royal Military,None
1972,St. Anselm,None
1972,St. Lawrence,ECAC
1972,St. Louis,None
1972,St. Nick's,None
1972,Toronto,None
1972,Vermont,None
1972,Waterloo,None
1972,Western Ontario,None
1972,Williams,None
1972,Wisconsin,WCHA
1972,Yale,ECAC
1972,York,None
1973,Air Force,None
1973,American Int'l,None
1973,Amherst,None
1973,Army,None
1973,Babson,None
1973,Boston College,ECAC
1973,Boston State,None
1973,Boston University,ECAC
1973,Bowdoin,None
1973,Bowling Green,None
1973,Brown,ECAC
1973,Clarkson,ECAC
1973,Colgate,ECAC
1973,Colorado College,WCHA
1973,Connecticut,None
1973,Cornell,ECAC
1973,Dartmouth,ECAC
1973,Denver,WCHA
1973,Harvard,ECAC
1973,Holy Cross,None
1973,Ithaca,None
1973,Lake Forest,None
1973,Lake Superior,None
1973,Lowell Tech,None
1973,MacDonald,None
1973,Massachusetts,ECAC
1973,McGill,None
1973,Merrimack,None
1973,Michigan,WCHA
1973,Michigan State,WCHA
1973,Michigan Tech,WCHA
1973,Minnesota,WCHA
1973,Minnesota-Duluth,WCHA
1973,New Hampshire,ECAC
1973,New Haven,None
1973,North Dakota,WCHA
1973,Northeastern,ECAC
1973,Norwich,None
1973,Notre Dame,WCHA
1973,Pennsylvania,ECAC
1973,Princeton,ECAC
1973,Providence,ECAC
1973,RPI,ECAC
1973,Royal Military,None
1973,Salem State,None
1973,St. Anselm,None
1973,St. Lawrence,ECAC
1973,St. Louis,None
1973,St. Mary's,None
1973,St. Nick's,None
1973,Vermont,None
1973,Waterloo,None
1973,Waterloo Luth.,None
1973,Wesleyan,None
1973,Western Ontario,None
1973,Williams,None
1973,Wis.-Superior,None
1973,Wisconsin,WCHA
1973,Yale,ECAC
1974,Air Force,WCHA
1974,Amherst,None
1974,Army,None
1974,Babson,None
1974,Boston College,ECAC
1974,Boston State,None
1974,Boston University,ECAC
1974,Bowdoin,None
1974,Bridgewater Stat,None
1974,Brown,ECAC
1974,Clarkson,ECAC
1974,Colgate,ECAC
1974,Colorado College,WCHA
1974,Connecticut,None
1974,Cornell,ECAC
1974,Dartmouth,ECAC
1974,Denver,WCHA
1974,Elmira,None
1974,Harvard,ECAC
1974,Holy Cross,None
1974,Ithaca,None
1974,Lowell Tech,None
1974,MCLA,None
1974,Massachusetts,None
1974,Merrimack,None
1974,Michigan,WCHA
1974,Michigan State,WCHA
1974,Michigan Tech,WCHA
1974,Minnesota,WCHA
1974,Minnesota-Duluth,WCHA
1974,New England Coll,None
1974,New Hampshire,ECAC
1974,New Haven,None
1974,North Dakota,WCHA
1974,Northeastern,ECAC
1974,Norwich,None
1974,Notre Dame,WCHA
1974,Ohio State,None
1974,Oswego,None
1974,Ottawa,None
1974,Pennsylvania,ECAC
1974,Princeton,ECAC
1974,Providence,ECAC
1974,RPI,ECAC
1974,Royal Military,None
1974,Salem State,None
1974,St. Anselm,None
1974,St. Lawrence,ECAC
1974,St. Louis,None
1974,St. Nick's,None
1974,Toronto,None
1974,Vermont,ECAC
1974,Wesleyan,None
1974,Williams,None
1974,Wisconsin,WCHA
1974,Yale,ECAC
1974,York,None
1975,Air Force,None
1975,Army,None
1975,Augsburg,None
1975,Babson,None
1975,Boston College,ECAC
1975,Boston State,None
1975,Boston University,ECAC
1975,Bowdoin,None
1975,Bowling Green,CCHA
1975,Bridgewater Stat,None
1975,Brown,ECAC
1975,Bryant,None
1975,Clarkson,ECAC
1975,Colgate,ECAC
1975,Colorado College,WCHA
1975,Connecticut,None
1975,Cornell,ECAC
1975,Dartmouth,ECAC
1975,Denver,WCHA
1975,Harvard,ECAC
1975,Holy Cross,None
1975,Ithaca,None
1975,Lake Superior,CCHA
1975,Lowell,None
1975,MCLA,None
1975,Massachusetts,None
1975,Merrimack,None
1975,Michigan,WCHA
1975,Michigan State,WCHA
1975,Michigan Tech,WCHA
1975,Minnesota,WCHA
1975,Minnesota-Duluth,WCHA
1975,New England Coll,None
1975,New Hampshire,ECAC
1975,New Haven,None
1975,North Dakota,WCHA
1975,Northeastern,ECAC
1975,Norwich,None
1975,Notre Dame,WCHA
1975,Ohio State,CCHA
1975,Oswego,None
1975,Ottawa,None
1975,Pennsylvania,ECAC
1975,Princeton,ECAC
1975,Providence,ECAC
1975,RPI,ECAC
1975,Royal Military,None
1975,Salem State,None
1975,St. Anselm,None
1975,St. Lawrence,ECAC
1975,St. Louis,CCHA
1975,St. Nick's,None
1975,US Olympic,None
1975,Union,None
1975,Vermont,ECAC
1975,Waterloo,None
1975,Wesleyan,None
1975,Western Michigan,CCHA
1975,Williams,None
1975,Wisconsin,WCHA
1975,Yale,ECAC
1975,York,None
1976,Air Force,None
1976,American Int'l,None
1976,Army,None
1976,Babson,None
1976,Boston College,ECAC
1976,Boston State,None
1976,Boston University,ECAC
1976,Bowdoin,None
1976,Bowling Green,None
1976,Bridgewater Stat,None
1976,Brown,ECAC
1976,Bryant,None
1976,Clarkson,ECAC
1976,Colgate,ECAC
1976,Colorado College,WCHA
1976,Connecticut,None
1976,Cornell,ECAC
1976,Dartmouth,ECAC
1976,Denver,WCHA
1976,Elmira,None
1976,Framingham State,None
1976,Harvard,ECAC
1976,Holy Cross,None
1976,Lake Superior,None
1976,Lowell,None
1976,MCLA,None
1976,Massachusetts,None
1976,Merrimack,None
1976,Michigan,WCHA
1976,Michigan State,WCHA
1976,Michigan Tech,WCHA
1976,Minnesota,WCHA
1976,Minnesota-Duluth,WCHA
1976,New England Coll,None
1976,New Hampshire,ECAC
1976,New Haven,None
1976,North Dakota,WCHA
1976,Northeastern,ECAC
1976,Norwich,None
1976,Notre Dame,WCHA
1976,Oswego,None
1976,Pennsylvania,ECAC
1976,Plattsburgh,None
1976,Princeton,ECAC
1976,Providence,ECAC
1976,RPI,ECAC
1976,Royal Military,None
1976,Salem State,None
1976,St. Anselm,None
1976,St. Lawrence,ECAC
1976,St. Louis,None
1976,St. Nick's,None
1976,Union,None
1976,Vermont,ECAC
1976,Waterloo,None
1976,Wesleyan,None
1976,Western Ontario,None
1976,Wisconsin,WCHA
1976,Yale,ECAC
1976,York,None
1977,Air Force,WCHA
1977,Army,None
1977,Babson,None
1977,Boston College,ECAC
1977,Boston University,ECAC
1977,Bowdoin,None
1977,Bowling Green,None
1977,Bridgewater Stat,None
1977,Brown,ECAC
1977,Bryant,None
1977,Clarkson,ECAC
1977,Colgate,ECAC
1977,Colorado College,WCHA
1977,Connecticut,None
1977,Cornell,ECAC
1977,Cortland,None
1977,Dartmouth,ECAC
1977,Denver,WCHA
1977,Elmira,None
1977,Framingham State,None
1977,Gustavus Adolphu,None
1977,Harvard,ECAC
1977,Holy Cross,None
1977,Lowell,None
1977,MCLA,None
1977,Massachusetts,None
1977,Merrimack,None
1977,Michigan,WCHA
1977,Michigan State,WCHA
1977,Michigan Tech,WCHA
1977,Minnesota,WCHA
1977,Minnesota-Duluth,WCHA
1977,New England Coll,None
1977,New Hampshire,ECAC
1977,New Haven,None
1977,North Dakota,WCHA
1977,Northeastern,ECAC
1977,Northern Michigan,None
1977,Norwich,None
1977,Notre Dame,WCHA
1977,Ohio State,None
1977,Oswego,None
1977,Pennsylvania,ECAC
1977,Plattsburgh,None
1977,Princeton,ECAC
1977,Providence,ECAC
1977,RPI,ECAC
1977,Royal Military,None
1977,Salem State,None
1977,St. Anselm,None
1977,St. Lawrence,ECAC
1977,St. Louis,None
1977,St. Nick's,None
1977,Vermont,ECAC
1977,Wisconsin,WCHA
1977,Yale,ECAC
1977,York,None
1978,Air Force,None
1978,American Int'l,None
1978,Army,None
1978,Babson,None
1978,Boston College,ECAC
1978,Boston University,ECAC
1978,Bowdoin,None
1978,Bowling Green,None
1978,Bridgewater Stat,None
1978,Brown,ECAC
1978,Bryant,None
1978,Clarkson,ECAC
1978,Colgate,ECAC
1978,Colorado College,WCHA
1978,Connecticut,None
1978,Cornell,ECAC
1978,Cortland,None
1978,Dartmouth,ECAC
1978,Denver,WCHA
1978,Elmira,None
1978,Framingham State,None
1978,Hamilton,None
1978,Harvard,ECAC
1978,Holy Cross,None
1978,Lowell,None
1978,Massachusetts,None
1978,Merrimack,None
1978,Michigan,WCHA
1978,Michigan State,WCHA
1978,Michigan Tech,WCHA
1978,Minnesota,WCHA
1978,Minnesota-Duluth,WCHA
1978,N. Ariz (club),None
1978,New England Coll,None
1978,New Hampshire,ECAC
1978,New Haven,None
1978,North Dakota,WCHA
1978,Northeastern,ECAC
1978,Norwich,None
1978,Notre Dame,WCHA
1978,Oswego,None
1978,Plattsburgh,None
1978,Princeton,ECAC
1978,Providence,ECAC
1978,Queen's,None
1978,RPI,ECAC
1978,Royal Military,None
1978,Salem State,None
1978,St. Anselm,None
1978,St. Lawrence,ECAC
1978,St. Louis,None
1978,St. Nick's,None
1978,Toronto,None
1978,Union,None
1978,Vermont,ECAC
1978,Waterloo,None
1978,Williams,None
1978,Wisconsin,WCHA
1978,Yale,ECAC
1979,409,None
1979,Air Force,None
1979,American Int'l,None
1979,Army,None
1979,Babson,None
1979,Boston College,ECAC
1979,Boston State,None
1979,Boston University,ECAC
1979,Bowling Green,None
1979,Bridgewater Stat,None
1979,Brown,ECAC
1979,Bryant,None
1979,Clarkson,ECAC
1979,Colgate,ECAC
1979,Colorado College,WCHA
1979,Connecticut,None
1979,Cornell,ECAC
1979,Cortland,None
1979,Dartmouth,ECAC
1979,Denver,WCHA
1979,Framingham State,None
1979,Hamilton,None
1979,Harvard,ECAC
1979,Holy Cross,None
1979,Lowell,None
1979,Maine,ECAC
1979,Mass.-Boston,None
1979,Merrimack,None
1979,Miami,None
1979,Michigan,WCHA
1979,Michigan State,WCHA
1979,Michigan Tech,WCHA
1979,Middlebury,None
1979,Minnesota,WCHA
1979,Minnesota-Duluth,WCHA
1979,New England Coll,None
1979,New Hampshire,ECAC
1979,New Haven,None
1979,North Dakota,WCHA
1979,Northeastern,ECAC
1979,Northern Michigan,None
1979,Norwich,None
1979,Notre Dame,WCHA
1979,Ohio State,None
1979,Oswego,None
1979,Princeton,ECAC
1979,Providence,ECAC
1979,RPI,ECAC
1979,Royal Military,None
1979,Salem State,None
1979,St. Anselm,None
1979,St. Lawrence,ECAC
1979,St. Nick's,None
1979,U.S. International,None
1979,Union,None
1979,Upsala,None
1979,Vermont,ECAC
1979,Western Michigan,None
1979,Westfield State,None
1979,Williams,None
1979,Wisconsin,WCHA
1979,Yale,ECAC
1980,409,None
1980,Air Force,None
1980,Alaska-Anchorage,None
1980,Alaska-Fairbanks,None
1980,American Int'l,None
1980,Army,None
1980,Babson,None
1980,Boston College,ECAC
1980,Boston State,None
1980,Boston University,ECAC
1980,Bowling Green,None
1980,Brown,ECAC
1980,Clarkson,ECAC
1980,Colgate,ECAC
1980,Colorado College,WCHA
1980,Connecticut,None
1980,Cornell,ECAC
1980,Cortland,None
1980,Dartmouth,ECAC
1980,Denver,WCHA
1980,Elmira,None
1980,Ferris State,None
1980,Framingham State,None
1980,Hamilton,None
1980,Harvard,ECAC
1980,Holy Cross,None
1980,Lowell,None
1980,Maine,ECAC
1980,Mass.-Boston,None
1980,Merrimack,None
1980,Michigan,WCHA
1980,Michigan State,WCHA
1980,Michigan Tech,WCHA
1980,Middlebury,None
1980,Minnesota,WCHA
1980,Minnesota-Duluth,WCHA
1980,New Hampshire,ECAC
1980,New Haven,None
1980,North Dakota,WCHA
1980,Northeastern,ECAC
1980,Northern Michigan,None
1980,Norwich,None
1980,Notre Dame,WCHA
1980,Ohio State,None
1980,Oswego,None
1980,Princeton,ECAC
1980,Providence,ECAC
1980,RPI,ECAC
1980,Royal Military,None
1980,Salem State,None
1980,St. Anselm,None
1980,St. Lawrence,ECAC
1980,St. Nick's,None
1980,Toronto,None
1980,U.S. International,None
1980,Union,None
1980,Upsala,None
1980,Vermont,ECAC
1980,Western Michigan,None
1980,Westfield State,None
1980,Williams,None
1980,Wisconsin,WCHA
1980,Yale,ECAC
1981,409,None
1981,60,None
1981,Air Force,None
1981,Alaska-Anchorage,None
1981,American Int'l,None
1981,Army,None
1981,Bentley,None
1981,Boston College,ECAC
1981,Boston State,None
1981,Boston University,ECAC
1981,Bowling Green,CCHA
1981,Brown,ECAC
1981,Clarkson,ECAC
1981,Colgate,ECAC
1981,Colorado College,WCHA
1981,Concordia,None
1981,Connecticut,None
1981,Cornell,ECAC
1981,Cortland,None
1981,Dartmouth,ECAC
1981,Denver,WCHA
1981,Eastern Michigan,None
1981,Elmira,None
1981,Ferris State,CCHA
1981,Framingham State,None
1981,Hamilton,None
1981,Harvard,ECAC
1981,Holy Cross,None
1981,Illinois-Chicago,None
1981,Lake Superior,CCHA
1981,Lowell,None
1981,Maine,ECAC
1981,Mass.-Boston,None
1981,Merrimack,None
1981,Miami,CCHA
1981,Michigan,CCHA
1981,Michigan State,CCHA
1981,Michigan Tech,CCHA
1981,Middlebury,None
1981,Minnesota,WCHA
1981,Minnesota-Duluth,WCHA
1981,New Hampshire,ECAC
1981,North Dakota,WCHA
1981,Northeastern,ECAC
1981,Northern Arizona,None
1981,Northern Michigan,CCHA
1981,Norwich,None
1981,Notre Dame,CCHA
1981,Ohio State,CCHA
1981,Oswego,None
1981,Princeton,ECAC
1981,Providence,ECAC
1981,RPI,ECAC
1981,Royal Military,None
1981,Salem State,None
1981,St. Anselm,None
1981,St. Lawrence,ECAC
1981,St. Nick's,None
1981,Toronto,None
1981,U.S. International,None
1981,Union,None
1981,Upsala,None
1981,Vermont,ECAC
1981,Western Michigan,CCHA
1981,Westfield State,None
1981,Williams,None
1981,Wisconsin,WCHA
1981,Yale,ECAC
1982,409,None
1982,Air Force,None
1982,American Int'l,None
1982,Army,None
1982,Bentley,None
1982,Boston College,ECAC
1982,Boston University,ECAC
1982,Bowdoin,None
1982,Bowling Green,CCHA
1982,Brown,ECAC
1982,Clarkson,ECAC
1982,Colby,None
1982,Colgate,ECAC
1982,Colorado College,WCHA
1982,Connecticut,None
1982,Cornell,ECAC
1982,Cortland,None
1982,Dartmouth,ECAC
1982,Denver,WCHA
1982,Elmira,None
1982,Ferris State,CCHA
1982,Framingham State,None
1982,Hamilton,None
1982,Harvard,ECAC
1982,Holy Cross,None
1982,Illinois-Chicago,CCHA
1982,Iowa State,None
1982,Lake Forest,None
1982,Lake Superior,CCHA
1982,Lowell,None
1982,Maine,ECAC
1982,Manitoba,None
1982,Merrimack,None
1982,Miami,CCHA
1982,Michigan,CCHA
1982,Michigan State,CCHA
1982,Michigan Tech,CCHA
1982,Middlebury,None
1982,Minnesota,WCHA
1982,Minnesota-Duluth,WCHA
1982,New Hampshire,ECAC
1982,North Dakota,WCHA
1982,Northeastern,ECAC
1982,Northern Arizona,None
1982,Northern Michigan,CCHA
1982,Norwich,None
1982,Notre Dame,CCHA
1982,Ohio State,CCHA
1982,Oswego,None
1982,Princeton,ECAC
1982,Providence,ECAC
1982,RPI,ECAC
1982,Royal Military,None
1982,Ryerson,None
1982,St. Anselm,None
1982,St. Lawrence,ECAC
1982,St. Nick's,None
1982,Toronto,None
1982,U.S. International,None
1982,Union,None
1982,Upsala,None
1982,Vermont,ECAC
1982,Western Michigan,CCHA
1982,Westfield State,None
1982,Wilfrid Laurier,None
1982,Williams,None
1982,Windsor,None
1982,Wisconsin,WCHA
1982,Yale,ECAC
1983,409,None
1983,American Int'l,None
1983,Army,None
1983,Boston College,ECAC
1983,Boston University,ECAC
1983,Bowdoin,None
1983,Bowling Green,CCHA
1983,Brock,None
1983,Brown,ECAC
1983,Buffalo,None
1983,Clarkson,ECAC
1983,Colby,None
1983,Colgate,ECAC
1983,Colorado College,WCHA
1983,Cornell,ECAC
1983,Cortland,None
1983,Dalhousie,None
1983,Dartmouth,ECAC
1983,Denver,WCHA
1983,Elmira,None
1983,Ferris State,CCHA
1983,Framingham State,None
1983,Geneseo,None
1983,Hamilton,None
1983,Harvard,ECAC
1983,Holy Cross,None
1983,Illinois-Chicago,CCHA
1983,Lake Superior,CCHA
1983,Lowell,None
1983,Maine,ECAC
1983,Mass.-Boston,None
1983,Merrimack,None
1983,Miami,CCHA
1983,Michigan,CCHA
1983,Michigan State,CCHA
1983,Michigan Tech,CCHA
1983,Middlebury,None
1983,Minnesota,WCHA
1983,Minnesota-Duluth,WCHA
1983,New Hampshire,ECAC
1983,North Dakota,WCHA
1983,Northeastern,ECAC
1983,Northern Arizona,None
1983,Northern Michigan,CCHA
1983,Norwich,None
1983,Ohio State,CCHA
1983,Oswego,None
1983,Princeton,ECAC
1983,Providence,ECAC
1983,RPI,ECAC
1983,Royal Military,None
1983,St. Anselm,None
1983,St. Lawrence,ECAC
1983,Trinity,None
1983,U.S. International,None
1983,Union,None
1983,Upsala,None
1983,Vermont,ECAC
1983,Waterloo,None
1983,Western Michigan,CCHA
1983,Westfield State,None
1983,Wilfrid Laurier,None
1983,Williams,None
1983,Wisconsin,WCHA
1983,Yale,ECAC
1984,409,None
1984,Air Force,None
1984,Alaska-Anchorage,None
1984,Alaska-Fairbanks,None
1984,American Int'l,None
1984,Army,ECAC
1984,Babson,None
1984,Boston College,Hockey East
1984,Boston University,Hockey East
1984,Bowling Green,CCHA
1984,Brown,ECAC
1984,Buffalo,None
1984,Clarkson,ECAC
1984,Colgate,ECAC
1984,Colorado College,WCHA
1984,Cornell,ECAC
1984,Dartmouth,ECAC
1984,Denver,WCHA
1984,Ferris State,CCHA
1984,Hamilton,None
1984,Harvard,ECAC
1984,Holy Cross,None
1984,Illinois-Chicago,CCHA
1984,Lake Superior,CCHA
1984,Lowell,Hockey East
1984,Maine,Hockey East
1984,Merrimack,None
1984,Miami,CCHA
1984,Michigan,CCHA
1984,Michigan State,CCHA
1984,Michigan Tech,WCHA
1984,Middlebury,None
1984,Minnesota,WCHA
1984,Minnesota-Duluth,WCHA
1984,New Hampshire,Hockey East
1984,North Dakota,WCHA
1984,Northeastern,Hockey East
1984,Northern Arizona,None
1984,Northern Michigan,WCHA
1984,Norwich,None
1984,Notre Dame,None
1984,Ohio State,CCHA
1984,Princeton,ECAC
1984,Providence,Hockey East
1984,RPI,ECAC
1984,Royal Military,None
1984,Ryerson,None
1984,St. Lawrence,ECAC
1984,Toronto,None
1984,Trinity,None
1984,U.S. International,None
1984,Union,None
1984,Vermont,ECAC
1984,Western Michigan,CCHA
1984,Western Ontario,None
1984,Williams,None
1984,Wisconsin,WCHA
1984,Yale,ECAC
1985,409,None
1985,Air Force,None
1985,Alaska-Anchorage,None
1985,American Int'l,None
1985,Army,ECAC
1985,Babson,None
1985,Boston College,Hockey East
1985,Boston University,Hockey East
1985,Bowling Green,CCHA
1985,Brown,ECAC
1985,Clarkson,ECAC
1985,Colgate,ECAC
1985,Colorado College,WCHA
1985,Cornell,ECAC
1985,Dartmouth,ECAC
1985,Denver,WCHA
1985,Elmira,None
1985,Ferris State,CCHA
1985,Hamilton,None
1985,Harvard,ECAC
1985,Holy Cross,None
1985,Illinois-Chicago,CCHA
1985,Lake Superior,CCHA
1985,Lowell,Hockey East
1985,Maine,Hockey East
1985,Merrimack,None
1985,Miami,CCHA
1985,Michigan,CCHA
1985,Michigan State,CCHA
1985,Michigan Tech,WCHA
1985,Middlebury,None
1985,Minnesota,WCHA
1985,Minnesota-Duluth,WCHA
1985,New Hampshire,Hockey East
1985,North Dakota,WCHA
1985,Northeastern,Hockey East
1985,Northern Arizona,None
1985,Northern Michigan,WCHA
1985,Norwich,None
1985,Notre Dame,None
1985,Ohio State,CCHA
1985,Plattsburgh,None
1985,Princeton,ECAC
1985,Providence,Hockey East
1985,RPI,ECAC
1985,Royal Military,None
1985,Ryerson,None
1985,St. Anselm,None
1985,St. Lawrence,ECAC
1985,Toronto,None
1985,Trinity,None
1985,U.S. International,None
1985,Vermont,ECAC
1985,Western Michigan,CCHA
1985,Western Ontario,None
1985,Williams,None
1985,Wisconsin,WCHA
1985,Yale,ECAC
1986,Air Force,None
1986,Alabama-Huntsville,None
1986,Alaska-Anchorage,None
1986,Alaska-Fairbanks,None
1986,Army,ECAC
1986,Boston College,Hockey East
1986,Boston University,Hockey East
1986,Bowling Green,CCHA
1986,Brown,ECAC
1986,Clarkson,ECAC
1986,Colgate,ECAC
1986,Colorado College,WCHA
1986,Cornell,ECAC
1986,Dartmouth,ECAC
1986,Denver,WCHA
1986,Ferris State,CCHA
1986,Harvard,ECAC
1986,Holy Cross,None
1986,Illinois-Chicago,CCHA
1986,Kent State,None
1986,Lake Superior,CCHA
1986,Lowell,Hockey East
1986,Maine,Hockey East
1986,Merrimack,None
1986,Miami,CCHA
1986,Michigan,CCHA
1986,Michigan State,CCHA
1986,Michigan Tech,WCHA
1986,Minnesota,WCHA
1986,Minnesota-Duluth,WCHA
1986,New Hampshire,Hockey East
1986,North Dakota,WCHA
1986,Northeastern,Hockey East
1986,Northern Michigan,WCHA
1986,Norwich,None
1986,Notre Dame,None
1986,Ohio State,CCHA
1986,Princeton,ECAC
1986,Providence,Hockey East
1986,RPI,ECAC
1986,Royal Military,None
1986,St. Anselm,None
1986,St. Lawrence,ECAC
1986,Toronto,None
1986,U.S. International,None
1986,Vermont,ECAC
1986,Western Michigan,CCHA
1986,Williams,None
1986,Wisconsin,WCHA
1986,Yale,ECAC
1987,409,None
1987,Air Force,None
1987,Alabama-Huntsville,None
1987,Alaska-Anchorage,None
1987,Alaska-Fairbanks,None
1987,American Int'l,None
1987,Arizona,None
1987,Army,ECAC
1987,Boston College,Hockey East
1987,Boston University,Hockey East
1987,Bowling Green,CCHA
1987,Brown,ECAC
1987,Clarkson,ECAC
1987,Colgate,ECAC
1987,Colorado College,WCHA
1987,Cornell,ECAC
1987,Dartmouth,ECAC
1987,Denver,WCHA
1987,Ferris State,CCHA
1987,Harvard,ECAC
1987,Holy Cross,None
1987,Illinois-Chicago,CCHA
1987,Kent State,None
1987,Lake Superior,CCHA
1987,Lowell,Hockey East
1987,Maine,Hockey East
1987,Merrimack,None
1987,Miami,CCHA
1987,Michigan,CCHA
1987,Michigan State,CCHA
1987,Michigan Tech,WCHA
1987,Minnesota,WCHA
1987,Minnesota-Duluth,WCHA
1987,New Hampshire,Hockey East
1987,North Dakota,WCHA
1987,Northeastern,Hockey East
1987,Northern Michigan,WCHA
1987,Notre Dame,None
